"Comparison","Z","P.unadj","P.adj"
"African - Americas",33.5006096544572,4.72215478653655e-246,7.08323217980483e-245
"African - Eastern Mediterranean",-20.5168102559977,1.52388729503515e-93,2.28583094255272e-92
"Americas - Eastern Mediterranean",-46.7980423653893,0,0
"African - European",42.1638054754762,0,0
"Americas - European",5.15990416538278,2.47076285324104e-07,3.70614427986156e-06
"Eastern Mediterranean - European",53.9047166481318,0,0
"African - South-East Asia",-1.58880581739965,0.112104239493321,1
"Americas - South-East Asia",-23.2814186073397,6.83941062238502e-120,1.02591159335775e-118
"Eastern Mediterranean - South-East Asia",13.0846992029788,4.02751368973349e-39,6.04127053460023e-38
"European - South-East Asia",-27.5426623727295,5.41809253217949e-167,8.12713879826924e-166
"African - Western Pacific",16.2588304003947,1.93394551492077e-59,2.90091827238115e-58
"Americas - Western Pacific",-13.2677090010773,3.56308175732883e-40,5.34462263599324e-39
"Eastern Mediterranean - Western Pacific",31.9020977090828,2.49705824000034e-223,3.74558736000051e-222
"European - Western Pacific",-18.7820156036509,1.0597956394288e-78,1.5896934591432e-77
"South-East Asia - Western Pacific",12.6394988458167,1.27866333965798e-36,1.91799500948697e-35
